n_b_fm3,p_mev_fm3,epsilon_mev_fm3,mu_b_mev,cs2,delta_beta,proton_fraction,lepton_mu_mev
4.000000000000e-02,1.133806054059e-01,3.782070957514e+01,9.483522545136e+02,4.766966243510e-03,9.628492566964e-01,1.857537165180e-02,5.529398545803e+01
4.400000000000e-02,1.323704932602e-01,4.161502350923e+01,9.488044091475e+02,5.242689353861e-03,9.598917103357e-01,2.005414483215e-02,5.855477627441e+01
4.800000000000e-02,1.531757607526e-01,4.541114504412e+01,9.492566834348e+02,5.740799055930e-03,9.570489310474e-01,2.147553447628e-02,6.166946240528e+01
5.200000000000e-02,1.759673999522e-01,4.920908170344e+01,9.497124827576e+02,6.284483108990e-03,9.543123446704e-01,2.284382766478e-02,6.465436008901e+01
5.600000000000e-02,2.009244707193e-01,5.300885335557e+01,9.501746040409e+02,6.875639782193e-03,9.516742136230e-01,2.416289318850e-02,6.752298044436e+01
6.000000000000e-02,2.282330935881e-01,5.681049009954e+01,9.506453865521e+02,7.515928479349e-03,9.491275833464e-01,2.543620832678e-02,7.028665343403e+01
6.400000000000e-02,2.580857059215e-01,6.061403065894e+01,9.511268182009e+02,8.206828153238e-03,9.466662153779e-01,2.666689231105e-02,7.295498299674e+01
6.800000000000e-02,2.906805009769e-01,6.441952113808e+01,9.516206123390e+02,8.949678091918e-03,9.442845176024e-01,2.785774119878e-02,7.553618647852e+01
7.200000000000e-02,3.262209966991e-01,6.822701404266e+01,9.521282644356e+02,9.745706932743e-03,9.419774769225e-01,2.901126153874e-02,7.803735265354e+01
7.600000000000e-02,3.649156981634e-01,7.203656749740e+01,9.526510946784e+02,1.059605362697e-02,9.397405967644e-01,3.012970161778e-02,8.046464114238e+01
8.000000000000e-02,4.069778286548e-01,7.584824461275e+01,9.531902805175e+02,1.150178278629e-02,9.375698403431e-01,3.121507982844e-02,8.282343879981e+01
8.400000000000e-02,4.526251117150e-01,7.966211296656e+01,9.537468818842e+02,1.246389603696e-02,9.354615798208e-01,3.226921008958e-02,8.511848394934e+01
8.800000000000e-02,5.020795914590e-01,8.347824417509e+01,9.543218609836e+02,1.348334049061e-02,9.334125510993e-01,3.329372445034e-02,8.735396621677e+01
9.200000000000e-02,5.555674818969e-01,8.729671353473e+01,9.549160980069e+02,1.456101510312e-02,9.314198138024e-01,3.429009309878e-02,8.953360758781e+01
9.600000000000e-02,6.133190384106e-01,9.111759972004e+01,9.555304037339e+02,1.569777546614e-02,9.294807159397e-01,3.525964203013e-02,9.166072883674e+01
1.000000000000e-01,6.755684462516e-01,9.494098452722e+01,9.561655297348e+02,1.689443742207e-02,9.275928627367e-01,3.620356863165e-02,9.373830442855e+01
1.040000000000e-01,7.425537221728e-01,9.876695265449e+01,9.568221766987e+02,1.815177978666e-02,9.257540891449e-01,3.712295542753e-02,9.576900824517e+01
1.080000000000e-01,8.145166262148e-01,1.025955915127e+02,9.575010012860e+02,1.947054638843e-02,9.239624355861e-01,3.801878220693e-02,9.775525193886e+01
1.120000000000e-01,8.917025813474e-01,1.064269910608e+02,9.582026218053e+02,2.085144758052e-02,9.222161265304e-01,3.889193673479e-02,9.969921731037e+01
1.160000000000e-01,9.743605991634e-01,1.102612436626e+02,9.589276229462e+02,2.229516134275e-02,9.205135515546e-01,3.974322422268e-02,1.016028838062e+02
1.200000000000e-01,1.062743210218e+00,1.140984439598e+02,9.596765597501e+02,2.380233406315e-02,9.188532485715e-01,4.057337571423e-02,1.034680520000e+02
1.240000000000e-01,1.157106397885e+00,1.179386887608e+02,9.604499609575e+02,2.520921220918e-02,9.172338889573e-01,4.138305552133e-02,1.052963637473e+02
1.280000000000e-01,1.256445209230e+00,1.217820640333e+02,9.612383534570e+02,2.646603714379e-02,9.153875844162e-01,4.230620779190e-02,1.070535647544e+02
1.320000000000e-01,1.360632183270e+00,1.256286141710e+02,9.620397451084e+02,2.783738646797e-02,9.132611642459e-01,4.336941787705e-02,1.087321826716e+02
1.360000000000e-01,1.470696208006e+00,1.294784086695e+02,9.628610652757e+02,2.940302557544e-02,9.110355593946e-01,4.448222030271e-02,1.103566479770e+02
1.400000000000e-01,1.587126706376e+00,1.333315324904e+02,9.637047085482e+02,3.108004072635e-02,9.087649317450e-01,4.561753412749e-02,1.119350649300e+02
1.440000000000e-01,1.710318957407e+00,1.371880781540e+02,9.645722021624e+02,3.285097862942e-02,9.064786047521e-01,4.676069762394e-02,1.134723699060e+02
1.480000000000e-01,1.840631317685e+00,1.410481434481e+02,9.654646943636e+02,3.470830553362e-02,9.041950581328e-01,4.790247093359e-02,1.149720926396e+02
1.520000000000e-01,1.978404184939e+00,1.449118302947e+02,9.663831215768e+02,3.664804415209e-02,9.019268198069e-01,4.903659009657e-02,1.164369638116e+02
1.560000000000e-01,2.123968415019e+00,1.487792440734e+02,9.673282851819e+02,3.866787026627e-02,8.996827450267e-01,5.015862748663e-02,1.178691969543e+02
1.600000000000e-01,2.277649695786e+00,1.526504931714e+02,9.683008929199e+02,4.076634188002e-02,8.974692552191e-01,5.126537239043e-02,1.192706423749e+02
1.640000000000e-01,2.439771059125e+00,1.565256886631e+02,9.693015836718e+02,4.294252963174e-02,8.952910803697e-01,5.235445981514e-02,1.206428805739e+02
1.680000000000e-01,2.610654425481e+00,1.604049440679e+02,9.703309434132e+02,4.519581864993e-02,8.931517347987e-01,5.342413260067e-02,1.219872833398e+02
1.720000000000e-01,2.790621600038e+00,1.642883751624e+02,9.713895160608e+02,4.752579339749e-02,8.910538373079e-01,5.447308134607e-02,1.233050559904e+02
1.760000000000e-01,2.979994936918e+00,1.681760998276e+02,9.724778111622e+02,4.993216649629e-02,8.889993346775e-01,5.550033266124e-02,1.245972678597e+02
1.800000000000e-01,3.179097791624e+00,1.720682379238e+02,9.735963095303e+02,5.241473253277e-02,8.869896622103e-01,5.650516889483e-02,1.258648750643e+02
