n_b_fm3,p_mev_fm3,epsilon_mev_fm3,mu_b_mev,cs2,delta_beta,proton_fraction,lepton_mu_mev
1.080000000000e-01,7.945528384209e-01,1.025901710510e+02,9.572659619389e+02,1.867138716653e-02,9.239109501692e-01,3.804452491539e-02,9.777730988237e+01
1.120000000000e-01,8.684862752558e-01,1.064205720541e+02,9.579380207981e+02,1.995955996265e-02,9.221496392765e-01,3.892518036175e-02,9.972761507904e+01
1.160000000000e-01,9.475171651391e-01,1.102537033949e+02,9.586312117241e+02,2.130372974639e-02,9.204464298754e-01,3.977678506229e-02,1.016314742773e+02
1.200000000000e-01,1.031870115099e+00,1.140896505531e+02,9.593460055680e+02,2.270426403128e-02,9.187999831215e-01,4.060000843927e-02,1.034906856131e+02
1.240000000000e-01,1.121771940645e+00,1.179285008346e+02,9.600828449616e+02,2.400033482168e-02,9.172090441955e-01,4.139547790223e-02,1.053068984122e+02
1.280000000000e-01,1.216212471902e+00,1.217703305282e+02,9.608323671884e+02,2.514861504247e-02,9.154078774275e-01,4.229606128625e-02,1.070461602890e+02
1.320000000000e-01,1.315084584450e+00,1.256151756674e+02,9.615928806962e+02,2.641003552669e-02,9.133495170138e-01,4.332524149310e-02,1.087019012028e+02
1.360000000000e-01,1.419382993332e+00,1.294630973902e+02,9.623711792905e+02,2.785845108878e-02,9.112127440168e-01,4.439362799160e-02,1.102983612831e+02
1.400000000000e-01,1.529571448237e+00,1.333141719588e+02,9.631695957643e+02,2.941195223825e-02,9.090513417797e-01,4.547432911017e-02,1.118436896491e+02
1.440000000000e-01,1.646018602940e+00,1.371684829481e+02,9.639895941043e+02,3.105278170200e-02,9.068944033848e-01,4.655279830762e-02,1.133428908098e+02
1.480000000000e-01,1.769054446548e+00,1.410261189344e+02,9.648322525742e+02,3.277298469164e-02,9.047601809380e-01,4.761990953099e-02,1.147995654655e+02
1.520000000000e-01,1.898989101684e+00,1.448871723341e+02,9.656984304984e+02,3.456813966324e-02,9.026609526991e-01,4.866952365047e-02,1.162165135032e+02
1.560000000000e-01,2.036121184681e+00,1.487517386988e+02,9.665888454067e+02,3.643547192936e-02,9.006053001344e-01,4.969734993278e-02,1.175960144939e+02
1.600000000000e-01,2.180742146901e+00,1.526199162401e+02,9.675041149186e+02,3.837308663438e-02,8.985993501458e-01,5.070032492709e-02,1.189399811254e+02
1.640000000000e-01,2.333138758918e+00,1.564918054841e+02,9.684447819694e+02,4.037959991123e-02,8.966475219282e-01,5.167623903590e-02,1.202500524469e+02
1.680000000000e-01,2.493594626900e+00,1.603675090074e+02,9.694113311567e+02,4.245394072011e-02,8.947530070382e-01,5.262349648090e-02,1.215276549108e+02
1.720000000000e-01,2.662391159109e+00,1.642471312278e+02,9.704041999240e+02,4.459523553314e-02,8.929180933003e-01,5.354095334987e-02,1.227740446099e+02
1.760000000000e-01,2.839808198793e+00,1.681307782321e+02,9.714237865391e+02,4.680273702514e-02,8.911443914741e-01,5.442780426297e-02,1.239903377809e+02
1.800000000000e-01,3.026124443884e+00,1.720185576318e+02,9.724704559763e+02,4.907577780896e-02,8.894329984233e-01,5.528350078833e-02,1.251775335959e+02
1.840000000000e-01,3.221617724526e+00,1.759105784396e+02,9.735445443704e+02,5.141373922639e-02,8.877846172325e-01,5.610769138375e-02,1.263365316668e+02
1.880000000000e-01,3.426565182380e+00,1.798069509607e+02,9.746463624634e+02,5.381602960379e-02,8.861996472370e-01,5.690017638149e-02,1.274681457984e+02
1.920000000000e-01,3.641243379948e+00,1.837077866973e+02,9.757761983188e+02,5.628206868410e-02,8.846782525006e-01,5.766087374969e-02,1.285731150017e+02
1.960000000000e-01,3.865928358673e+00,1.876131982619e+02,9.769343194926e+02,5.881127621936e-02,8.832204145303e-01,5.838979273486e-02,1.296521124554e+02
2.000000000000e-01,4.100895658644e+00,1.915232992995e+02,9.781209747906e+02,6.137349533130e-02,8.818259732626e-01,5.908701336868e-02,1.307057528997e+02
