4.000000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,2.000000000000e-02,2.000000000000e-02,8.397506176106e-01,8.397506176106e-01,1.463237889871e+01,1.461223761036e+01,8.421990268084e+02,8.432408881998e+02,-2.053844234108e+01,-2.053844234108e+01,8.773384952722e+00,-1.006524824259e+01,-5.869082670140e+00,-7.160945960006e+00
4.400000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,2.200000000000e-02,2.200000000000e-02,8.668578645016e-01,8.668578645016e-01,1.559229568368e+01,1.557083308177e+01,8.345524163675e+02,8.355754333283e+02,-2.230215783564e+01,-2.230215783564e+01,9.348938629635e+00,-1.089606423806e+01,-6.190909596439e+00,-7.738035204863e+00
4.800000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,2.400000000000e-02,2.400000000000e-02,8.923681897803e-01,8.923681897803e-01,1.652351487831e+01,1.650077046471e+01,8.271554714310e+02,8.281604230896e+02,-2.401885853919e+01,-2.401885853919e+01,9.907285602905e+00,-1.170364686952e+01,-6.496233787777e+00,-8.292595054389e+00
5.200000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,2.600000000000e-02,2.600000000000e-02,9.164978476064e-01,9.164978476064e-01,1.742918875829e+01,1.740519769580e+01,8.199932407290e+02,8.209808538560e+02,-2.568913247495e+01,-2.568913247495e+01,1.045031593623e+01,-1.248872067991e+01,-6.789181633925e+00,-8.827586377605e+00
5.600000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,2.800000000000e-02,2.800000000000e-02,9.394197300270e-01,9.394197300270e-01,1.831190931420e+01,1.828670319780e+01,8.130531727433e+02,8.140241292570e+02,-2.731344834117e+01,-2.731344834117e+01,1.097958375360e+01,-1.325186828980e+01,-7.059647890121e+00,-9.331932426319e+00
6.000000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,3.000000000000e-02,3.000000000000e-02,9.612744921718e-01,9.612744921718e-01,1.917384053780e+01,1.914744798375e+01,8.063247459063e+02,8.072796891636e+02,-2.889216155997e+01,-2.889216155997e+01,1.149638655646e+01,-1.399351039800e+01,-7.315281521666e+00,-9.812405363198e+00
6.400000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,3.200000000000e-02,3.200000000000e-02,9.821782806274e-01,9.821782806274e-01,2.001681276756e+01,1.998925987268e+01,7.997978466643e+02,8.007373836637e+02,-3.042563653851e+01,-3.042563653851e+01,1.200182179207e+01,-1.471419162137e+01,-7.555820556705e+00,-1.026819038600e+01
6.800000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,3.400000000000e-02,3.400000000000e-02,1.002228247529e+00,1.002228247529e+00,2.084239166170e+01,2.081370236769e+01,7.934635210819e+02,7.943882263169e+02,-3.191414519781e+01,-3.191414519781e+01,1.249682820882e+01,-1.541432658227e+01,-7.788134763317e+00,-1.070563313677e+01
7.200000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,3.600000000000e-02,3.600000000000e-02,1.021506576443e+00,1.021506576443e+00,2.165192970971e+01,2.162212609660e+01,7.873136584077e+02,7.882240768246e+02,-3.335795564306e+01,-3.335795564306e+01,1.298221674189e+01,-1.609425512083e+01,-8.022989932006e+00,-1.113502831094e+01
7.600000000000e-02,0.000000000000e+00,0.000000000000e+00,5.000000000000e-01,3.800000000000e-02,3.800000000000e-02,1.040083481256e+00,1.040083481256e+00,2.244660542506e+01,2.241570795067e+01,7.813406977401e+02,7.822373468985e+02,-3.475725310056e+01,-3.475725310056e+01,1.345869401272e+01,-1.675423102934e+01,-8.240661329627e+00,-1.153619834625e+01
