n_b_fm3,p_mev_fm3,epsilon_mev_fm3,mu_b_mev,cs2
8.000000000000e-02,4.013936842648e-01,7.584707937073e+01,9.531059131875e+02,1.118297809395e-02
8.400000000000e-02,4.457257410445e-01,7.966057874696e+01,9.536464820001e+02,1.209280066069e-02
8.800000000000e-02,4.936540619729e-01,8.347627345842e+01,9.542037218226e+02,1.305490984793e-02
9.200000000000e-02,5.453846313255e-01,8.729423182885e+01,9.547784397846e+02,1.406997205229e-02
9.600000000000e-02,6.011264838939e-01,9.111452526557e+01,9.553713723903e+02,1.513860324858e-02
1.000000000000e-01,6.610915575260e-01,9.493722799771e+01,9.559831955523e+02,1.626137275189e-02
1.040000000000e-01,7.254945587411e-01,9.876241685077e+01,9.566145327838e+02,1.743880608569e-02
1.080000000000e-01,7.945528384209e-01,1.025901710510e+02,9.572659619389e+02,1.867138716653e-02
1.120000000000e-01,8.684862752558e-01,1.064205720541e+02,9.579380207981e+02,1.995955996265e-02
1.160000000000e-01,9.475171651391e-01,1.102537033949e+02,9.586312117241e+02,2.130372974639e-02
1.200000000000e-01,1.031870115099e+00,1.140896505531e+02,9.593460055680e+02,2.270426403128e-02
1.240000000000e-01,1.121771940645e+00,1.179285008346e+02,9.600828449616e+02,2.400033482168e-02
1.280000000000e-01,1.216212471902e+00,1.217703305282e+02,9.608323671884e+02,2.514861504247e-02
1.320000000000e-01,1.315084584450e+00,1.256151756674e+02,9.615928806962e+02,2.641003552669e-02
1.360000000000e-01,1.419382993332e+00,1.294630973902e+02,9.623711792905e+02,2.785845108878e-02
1.400000000000e-01,1.529571448237e+00,1.333141719588e+02,9.631695957643e+02,2.941195223825e-02
1.440000000000e-01,1.646018602940e+00,1.371684829481e+02,9.639895941043e+02,3.105278170200e-02
1.480000000000e-01,1.769054446548e+00,1.410261189344e+02,9.648322525742e+02,3.277298469164e-02
1.520000000000e-01,1.898989101684e+00,1.448871723341e+02,9.656984304984e+02,3.456813966324e-02
1.560000000000e-01,2.036121184681e+00,1.487517386988e+02,9.665888454067e+02,3.643547192936e-02
1.600000000000e-01,2.180742146901e+00,1.526199162401e+02,9.675041149186e+02,3.837308663438e-02
1.640000000000e-01,2.333138758918e+00,1.564918054841e+02,9.684447819694e+02,4.037959991123e-02
1.680000000000e-01,2.493594626900e+00,1.603675090074e+02,9.694113311567e+02,4.245394072011e-02
1.720000000000e-01,2.662391159109e+00,1.642471312278e+02,9.704041999240e+02,4.459523553314e-02
1.760000000000e-01,2.839808198793e+00,1.681307782321e+02,9.714237865391e+02,4.680273702514e-02
